MBps,bytes,category,channels,checksum,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
44.3831,1179648,keystream,3,7386139916934624047,low-medium,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,25.3475,1,physics novelty,stages__real_kodim07__rep1,reaction_diffusion,768
4.3597,1179648,permutation,3,17548987078754372571,O(N log N),512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,258.045,1,poor,stages__real_kodim07__rep1,chaotic_sort,768
57.1273,1179648,permutation,3,2294197714443676033,O(N) sequential,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,19.6928,1,poor,stages__real_kodim07__rep1,random_walk,768
162.982,1179648,permutation,3,4674918233060402607,O(N),512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,6.90261,1,good,stages__real_kodim07__rep1,arnold_cat_map,768
68.3663,1179648,permutation,3,6322929673278693509,O(N),512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,16.4555,1,excellent,stages__real_kodim07__rep1,affine_modular,768
57.1668,1179648,permutation,3,675191087392077667,O(rN),512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,19.6793,1,excellent,stages__real_kodim07__rep1,feistel_index,768
474.193,1179648,permutation,3,3300560158477543437,O(N),512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,2.37245,1,excellent,stages__real_kodim07__rep1,block_permutation,768
200.752,1179648,permutation,3,7064521295427185789,O(rN),512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,5.60392,1,excellent,stages__real_kodim07__rep1,checkerboard_swaps,768
229.403,1179648,diffusion,3,12889440685309083942,sequential,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,4.90404,1,poor,stages__real_kodim07__rep1,global_chain,768
297.065,1179648,diffusion,3,17192176470853672470,block-level,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,3.78706,1,good,stages__real_kodim07__rep1,block_local_chain,768
283.658,1179648,diffusion,3,17558802119673632614,reduced,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,3.96605,1,medium,stages__real_kodim07__rep1,parallel_prefix,768
