chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
272.417,aes_ctr,0.000486847,0.00123567,0.000393931,1,7.99983,images/datasets/real/kodak/kodim12.png,real_kodim12,,99.6112,1,full,8.47711e-05,1,full__real_kodim12__rep1,3.32435e-07
276.069,chacha20,0.00340144,0.00111173,0.00112221,1,7.99983,images/datasets/real/kodak/kodim12.png,real_kodim12,,99.6203,1,full,8.47711e-05,1,full__real_kodim12__rep1,3.32435e-07
14763.9,logistic_xor,0.00675358,-0.0519878,0.00799423,1,7.99089,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.3863,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
14633.1,logistic_permute_xor,0.00117361,-0.0120079,0.000340119,0.00709703,7.99098,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.5974,0.999998,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
14659.6,arnold_xor,0.00717767,-0.047234,0.00896172,0.173399,7.99095,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.3863,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
14501.1,tiled_arnold_xor,0.00792001,-0.0437864,0.00754698,0.0195304,7.99104,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.3863,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
265.023,tent_block_xor,-0.00201416,-0.00338559,-0.00381671,1,7.99984,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.6234,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
29073.6,sine_xor,0.0788457,0.0993374,0.0816596,1,7.98222,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.3009,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
56035.6,coupled_lattice_xor,0.155675,0.153262,0.160191,1,7.96558,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.4091,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
7233.59,hamiltonian_lattice_xor,0.00306441,-0.0211491,0.00300833,1,7.99552,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.5316,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
214.844,chaotic_seed_blake3_xor,0.0003729,-0.000659507,0.00191791,1,7.99987,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.608,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
265.802,aes_ctr,0.00347008,0.00125759,0.000931287,1,7.99984,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.6112,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
294.911,chacha20,0.00325513,-0.000467459,0.00181377,1,7.99982,images/datasets/real/kodak/kodim13.png,real_kodim13,,99.6203,1,full,8.47711e-05,1,full__real_kodim13__rep1,3.32435e-07
8739.53,logistic_xor,0.00621176,-0.0549704,0.00901288,1,7.99457,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.3863,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
9065.35,logistic_permute_xor,0.0017466,-0.0173298,-0.000977404,0.00638919,7.99437,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.6044,0.999998,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
8861.05,arnold_xor,0.00730865,-0.0514672,0.00945146,0.171837,7.99449,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.3863,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
8886.67,tiled_arnold_xor,0.00510801,-0.0509233,0.00754462,0.0218345,7.99447,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.3863,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
279.363,tent_block_xor,-0.000755684,-0.00468503,-0.00122192,1,7.99983,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.6234,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
28617.1,sine_xor,0.0865966,0.0754191,0.0863742,1,7.98242,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.3009,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
62140.3,coupled_lattice_xor,0.164071,0.141487,0.167408,1,7.96157,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.4091,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
4327.12,hamiltonian_lattice_xor,0.00134616,-0.015579,0.00414223,1,7.99732,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.5316,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
309.816,chaotic_seed_blake3_xor,0.00102046,-7.39722e-05,0.00324048,1,7.99981,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.608,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
256.201,aes_ctr,-0.000938902,0.000758103,-0.000210472,1,7.99984,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.6112,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
259.981,chacha20,0.000992044,0.000955785,-0.00127715,1,7.99984,images/datasets/real/kodak/kodim14.png,real_kodim14,,99.6203,1,full,8.47711e-05,1,full__real_kodim14__rep1,3.32435e-07
25484.2,logistic_xor,0.0120922,-0.0619546,0.0157816,1,7.98459,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.3863,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
25252.1,logistic_permute_xor,0.00277921,-0.00640279,0.000863855,0.0119239,7.98473,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.5989,0.999998,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
25902,arnold_xor,0.0120637,-0.0599822,0.0159965,0.174184,7.98434,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.3863,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
25570,tiled_arnold_xor,0.0111574,-0.0588968,0.0158867,0.0859095,7.98454,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.3863,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
265.428,tent_block_xor,-0.00217094,-0.00663674,-7.1266e-05,1,7.99984,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.6234,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
14371.6,sine_xor,0.237019,0.199474,0.240416,1,7.99138,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.3009,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
22614.1,coupled_lattice_xor,0.414854,0.378863,0.417376,1,7.98626,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.4091,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
11796.1,hamiltonian_lattice_xor,0.00646842,-0.00712585,0.00636768,1,7.99283,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.5316,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
267.595,chaotic_seed_blake3_xor,0.000346794,-0.00264675,0.00343847,1,7.99984,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.608,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
234.495,aes_ctr,-0.00307279,-0.000677566,-0.00110869,1,7.99986,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.6112,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
246.926,chacha20,0.00253895,0.000652794,0.0011774,1,7.99985,images/datasets/real/kodak/kodim15.png,real_kodim15,,99.6203,1,full,8.47711e-05,1,full__real_kodim15__rep1,3.32435e-07
35686.9,logistic_xor,0.00678088,-0.0539561,0.00856073,1,7.97821,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.3863,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
