MBps,bytes,channels,cipher,correct,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
23.0688,1179648,3,sine_xor,1,0.827348,1.6965290123874497,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,47.5101,97.42244258936866,full,0.000614,0.001259045545049839,1,full__real_kodim08__rep1,48.7671,scalar_avx2,768
72.0938,1179648,3,coupled_lattice_xor,1,0.585625,3.752875736156414,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,14.6053,93.59551929867284,full,0.000548,0.003511762481816376,1,full__real_kodim08__rep1,15.6047,scalar_avx2,768
11.0306,1179648,3,hamiltonian_lattice_xor,1,0.969208,0.9503064055927599,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,100.581,98.61945896126053,full,0.000551,0.0005402543411544381,1,full__real_kodim08__rep1,101.989,scalar_avx2,768
290.282,1179648,3,chaotic_seed_blake3_xor,1,0.584062,15.070428713343912,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,2.72519,70.31750332210912,full,0.000594,0.015326856833223672,1,full__real_kodim08__rep1,3.87555,scalar_avx2,768
335.785,1179648,3,aes_ctr,1,2.87143,85.70511825594863,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,0,0.0,full,0,0.0,1,full__real_kodim08__rep1,3.35036,openssl_evp,768
936.598,1179648,3,chacha20,1,0.661121,55.04021112924173,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,0,0.0,full,0,0.0,1,full__real_kodim08__rep1,1.20116,openssl_evp,768
128.43,1179648,3,logistic_xor,1,1.99832,22.812861745144197,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,4.81895,55.01323116756206,full,0.000654,0.007466077295590448,1,full__real_kodim09__rep1,8.75962,scalar_avx2,512
13.4851,1179648,3,logistic_permute_xor,1,1.9164,2.2971448709204525,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,4.13179,4.952682219902116,full,75.8793,90.95478230225125,1,full__real_kodim09__rep1,83.4253,scalar_avx2,512
119.524,1179648,3,arnold_xor,1,0.378353,4.019754917480668,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,3.88745,41.301631687763084,full,4.73731,50.3308422772658,1,full__real_kodim09__rep1,9.41234,scalar_avx2,512
78.7783,1179648,3,tiled_arnold_xor,1,2.08107,14.572707029116424,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,4.1376,28.973572538968952,full,6.30712,44.165651303166534,1,full__real_kodim09__rep1,14.2806,scalar_avx2,512
76.3489,1179648,3,tent_block_xor,1,1.9798,13.436036647438073,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,11.1568,75.71632168306753,full,0.000652,0.0044248388191381076,1,full__real_kodim09__rep1,14.735,scalar_avx2,512
