MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
810.326,3145728,3,aes_ctr,1,synthetic_control,2.97376,80.3239146347722,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,3.70221,openssl_evp,1024
857.311,3145728,3,chacha20,1,synthetic_control,3.02341,86.40017603470399,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,3.49931,openssl_evp,1024
1452.57,3145728,3,aes_256_gcm,1,synthetic_control,1.60469,77.69729483709466,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,2.06531,openssl_evp_aead,1024
612.026,3145728,3,chacha20_poly1305,1,synthetic_control,4.40685,89.90360585505178,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,4.90175,openssl_evp_aead,1024
180.65,786432,3,logistic_xor,1,synthetic_control,0.687053,16.548834565367674,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.82497,68.04418462931784,full,8.2e-05,0.0019751088116348363,1,full__gradient_512x512__rep1,4.15167,scalar_avx2,512
19.5466,786432,3,logistic_permute_xor,1,synthetic_control,0.126667,0.3301216060547619,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.56965,6.697063836663211,full,35.5087,92.5433544089362,1,full__gradient_512x512__rep1,38.3698,scalar_avx2,512
155.927,786432,3,arnold_xor,1,synthetic_control,0.208667,4.33823636420337,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.57249,53.482676535099124,full,1.86051,38.68044366365555,1,full__gradient_512x512__rep1,4.80995,scalar_avx2,512
137.054,786432,3,tiled_arnold_xor,1,synthetic_control,0.214656,3.922606299385266,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.68728,49.107136330743316,full,2.40857,44.014012440883874,1,full__gradient_512x512__rep1,5.47228,scalar_avx2,512
153.375,786432,3,tent_block_xor,1,synthetic_control,0.198271,4.054646552023837,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,4.5312,92.66314517266977,full,5.8e-05,0.001186101346225028,1,full__gradient_512x512__rep1,4.88997,scalar_avx2,512
33.7607,786432,3,sine_xor,1,synthetic_control,0.203235,0.9148465915229212,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,21.846,98.3380748316468,full,5.7e-05,0.0002565810796211603,1,full__gradient_512x512__rep1,22.2152,scalar_avx2,512
94.9705,786432,3,coupled_lattice_xor,1,synthetic_control,0.221228,2.801350860242694,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,7.4776,94.68684430791205,full,5.8e-05,0.0007344384521582993,1,full__gradient_512x512__rep1,7.89719,scalar_avx2,512
14.7409,786432,3,hamiltonian_lattice_xor,1,synthetic_control,0.223058,0.4384096354284389,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,50.494,99.24349779574636,full,9.1e-05,0.0001788560680360621,1,full__gradient_512x512__rep1,50.8789,scalar_avx2,512
