MBps_ci95,MBps_max,MBps_mean,MBps_mean_speedup_vs_baseline,MBps_median,MBps_min,MBps_stddev,category,image_size,n,stage
2.5792645269369507,238.299,220.48170370370372,1.0,221.6905,198.096,9.670227555086583,diffusion,768x512,54,global_chain
11.161210890600065,478.385,455.69188888888885,2.033549982100197,458.357,417.859,17.083486057040915,diffusion,1024x1024,9,multilane_chain_avx2
5.528626519334495,476.523,453.4375277777778,2.0460766596048123,458.714,399.817,16.92436689592192,diffusion,1280x720,36,multilane_chain_avx2
5.139744268762363,466.253,424.99683333333337,1.918056024452012,422.558,393.08,15.733911026823561,diffusion,1920x1080,36,multilane_chain_avx2
8.390409578550214,429.509,407.6131111111111,1.807789348361294,407.386,387.588,12.842463640638083,diffusion,2048x2048,9,multilane_chain_avx2
4.924524964324657,332.245,325.8184444444444,1.4720468988214552,329.974,313.766,7.5375382107010065,diffusion,4096x4096,9,multilane_chain_avx2
12.97073454865392,522.29,483.104,2.1192303980487974,474.704,466.881,19.853165125490694,diffusion,512x512,9,multilane_chain_avx2
8.236707529920176,484.298,462.67144444444443,2.082946328169707,467.89750000000004,411.468,17.829280864459758,diffusion,512x768,18,multilane_chain_avx2
6.7027967421458285,502.701,467.4096666666667,2.119947636538582,473.9645,337.462,25.13025285894905,diffusion,768x512,54,multilane_chain_avx2
5.726167254769982,276.073,267.45533333333333,1.1935340557382998,269.497,247.303,8.764541716484667,diffusion,1024x1024,9,parallel_prefix
3.4687419371950337,280.205,259.77258333333333,1.1721893028317363,260.22450000000003,226.725,10.618597766923573,diffusion,1280x720,36,parallel_prefix
2.734692036290804,273.17,253.93880555555558,1.1460529058953335,253.684,239.675,8.371506233543277,diffusion,1920x1080,36,parallel_prefix
7.998627946414342,262.688,250.3898888888889,1.1104946375174691,255.645,226.81,12.24279787716481,diffusion,2048x2048,9,parallel_prefix
4.186956334756258,219.592,212.79366666666667,0.9614012418468971,213.465,200.727,6.408606634831007,diffusion,4096x4096,9,parallel_prefix
7.095780462154001,286.351,273.9892222222222,1.2019074329152326,274.893,252.158,10.860888462480615,diffusion,512x512,9,parallel_prefix
4.242084549686958,284.424,270.7556666666667,1.218941710119293,269.02049999999997,244.792,9.182469647296928,diffusion,512x768,18,parallel_prefix
3.3295414610249336,292.052,267.4719259259259,1.213125268141843,267.223,219.402,12.483180087171263,diffusion,768x512,54,parallel_prefix
4.1624107069827865,166.967,159.8311111111111,0.7132550766518146,161.414,149.467,6.371036796402224,diffusion,1024x1024,9,prefix_tree_reverse
1.861510712468057,173.888,160.86675000000002,0.7258898576272922,160.86700000000002,146.878,5.698502181024664,diffusion,1280x720,36,prefix_tree_reverse
1.6416409012827515,164.746,156.813,0.7077137893083751,157.689,136.463,5.025431330457403,diffusion,1920x1080,36,prefix_tree_reverse
1.8452199304643073,157.642,153.4858888888889,0.6807194064507481,154.168,148.269,2.8243162200984293,diffusion,2048x2048,9,prefix_tree_reverse
2.0679305077298897,132.463,128.72633333333334,0.5815852448227515,129.258,123.276,3.165199756729423,diffusion,4096x4096,9,prefix_tree_reverse
2.8264899250728366,176.256,171.21511111111113,0.7510686478935574,170.367,164.913,4.3262600893971985,diffusion,512x512,9,prefix_tree_reverse
2.5179475498645716,175.299,167.5126111111111,0.7541415888654562,168.67149999999998,157.066,5.450380981167218,diffusion,512x768,18,prefix_tree_reverse
1.9369207750343471,179.217,165.23638888888888,0.7494335634803659,166.2295,142.3,7.26194015974022,diffusion,768x512,54,prefix_tree_reverse
6.596435018506422,345.899,332.6703333333333,1.4845595607259483,331.725,312.409,10.096584211999625,diffusion,1024x1024,9,prefix_xor_avx2
3.6204802220349745,349.093,332.95547222222217,1.502417375421687,332.4145,303.009,11.083102720515228,diffusion,1280x720,36,prefix_xor_avx2
3.2762540058602845,339.912,327.13033333333334,1.4763740748601533,329.1395,294.168,10.029348997531484,diffusion,1920x1080,36,prefix_xor_avx2
8.008612352306178,328.597,309.199,1.3713166811545354,312.149,284.825,12.258080131080886,diffusion,2048x2048,9,prefix_xor_avx2
3.216501416418504,274.096,266.567,1.2043490243384523,265.526,259.234,4.923216453701793,diffusion,4096x4096,9,prefix_xor_avx2
9.382148486366125,354.375,342.203,1.5011405409673542,345.612,310.199,14.360431356682843,diffusion,512x512,9,prefix_xor_avx2
6.169735888694541,355.368,334.36161111111113,1.5052956012469538,337.5815,308.107,13.355088015385471,diffusion,512x768,18,prefix_xor_avx2
3.16802186421229,358.047,335.23714814814815,1.520476041851797,335.365,297.561,11.877607746889051,diffusion,768x512,54,prefix_xor_avx2
4.806784839586541,277.683,267.82144444444447,1.1951678465991864,269.827,258.371,7.3573237340610325,diffusion,1024x1024,9,reverse_prefix_xor_avx2
