MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
572.667,3145728,3,aes_ctr,1,synthetic_control,3.72891,71.18087900676511,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,5.23864,openssl_evp,1024
906.362,3145728,3,chacha20,1,synthetic_control,1.83333,55.38878465707734,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,3.30993,openssl_evp,1024
851.232,3145728,3,aes_256_gcm,1,synthetic_control,1.73655,49.2736146185058,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,3.5243,openssl_evp_aead,1024
683.133,3145728,3,chacha20_poly1305,1,synthetic_control,2.79154,63.56645633754067,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,3,full__gradient_1024x1024__rep3,4.39153,openssl_evp_aead,1024
124.806,786432,3,logistic_xor,1,synthetic_control,1.16858,19.44615937603485,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,3.48204,57.94409008688186,full,0.001066,0.01773914143221102,1,full__gradient_512x512__rep1,6.00931,scalar_avx2,512
15.087,786432,3,logistic_permute_xor,1,synthetic_control,0.920838,1.8523604148729877,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.70869,5.448808728747415,full,45.309,91.14371695942194,1,full__gradient_512x512__rep1,49.7116,scalar_avx2,512
111.963,786432,3,arnold_xor,1,synthetic_control,0.245981,3.672103591176717,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.59817,38.786529803064504,full,3.57588,53.3821790691842,1,full__gradient_512x512__rep1,6.69864,scalar_avx2,512
84.2723,786432,3,tiled_arnold_xor,1,synthetic_control,1.1716,13.164459106578633,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.62248,29.466994467241665,full,4.19442,47.12979734193885,1,full__gradient_512x512__rep1,8.89972,scalar_avx2,512
74.9932,786432,3,tent_block_xor,1,synthetic_control,1.18453,11.844234018938296,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,7.89956,78.98849103580679,full,0.00056,0.005599496045355918,1,full__gradient_512x512__rep1,10.0009,scalar_avx2,512
22.8115,786432,3,sine_xor,1,synthetic_control,0.48682,1.480681669561197,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,32.0836,97.58349782986241,full,0.000611,0.0018583798942152982,1,full__gradient_512x512__rep1,32.8781,scalar_avx2,512
