chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
242.703,chaotic_seed_mix_xor,0.000204554,-0.00141171,-0.00128362,1,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6124,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
276.77,aes_ctr,-0.00241401,0.00264012,-0.00097822,1,7.99975,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6067,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
220.917,chacha20,0.00566,-0.000282329,0.00120264,1,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6176,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
248.107,logistic_xor,0.00178695,-0.0333235,0.00742823,1,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
240.924,logistic_permute_xor,0.00143524,0.00459627,0.00029859,0.00385793,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6068,0.999997,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
255.335,arnold_xor,0.0065554,-0.0381166,0.00574995,0.00390625,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
253.902,tiled_arnold_xor,0.00595864,-0.0318308,0.00540772,0.0120443,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
281.894,tent_block_xor,0.000663443,-0.00310728,-0.00170598,1,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.625,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
208.794,sine_xor,0.0727493,-0.0729127,0.079319,1,7.99981,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.2976,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
242.123,coupled_lattice_xor,0.146501,0.0275223,0.149401,1,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.4114,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
245.696,hamiltonian_lattice_xor,0.00318681,0.000783296,0.00203466,1,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5286,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
242.703,chaotic_seed_mix_xor,0.000204554,-0.00141171,-0.00128362,1,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6124,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
276.77,aes_ctr,-0.00241401,0.00264012,-0.00097822,1,7.99975,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6067,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
220.917,chacha20,0.00566,-0.000282329,0.00120264,1,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6176,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
248.107,logistic_xor,0.00178695,-0.0333235,0.00742823,1,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
