MBps,bytes,channels,checksum,diffusion,diffusion_ms,height,image,image_kind,image_size,keygen_ms,keystream,mode,permutation,permutation_ms,repeat,run_id,scheme,total_ms,width
9.5117,12582912,3,16529427070144471624,stencil,54.0371,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,1059.35,hamiltonian,candidates,block_feistel,148.205,2,candidates__gradient_2048x2048__rep2,Hamiltonian-Block-Stencil,1261.6,2048
29.9103,12582912,3,18286951560419403537,bitplane,28.0692,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,184.242,cml,candidates,affine_bitplane,188.883,2,candidates__gradient_2048x2048__rep2,Affine-CML-Bitplane,401.2,2048
217.37,12582912,3,15296360051045944194,arx_block,15.5409,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,26.8045,cellular_automata,candidates,checkerboard_swaps,12.8544,2,candidates__gradient_2048x2048__rep2,Checkerboard-CA-ARX,55.2054,2048
41.2901,12582912,3,15122475835053983483,prefix_tree_reverse,65.6875,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.9936,cellular_automata,candidates,affine_bitplane,195.94,2,candidates__gradient_2048x2048__rep2,Affine-CA-PrefixTree,290.627,2048
168.508,12582912,3,15952745533059969249,multilane_tree,29.8327,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,27.3439,cellular_automata,candidates,checkerboard_swaps,14.0275,2,candidates__gradient_2048x2048__rep2,Checkerboard-CA-MultilaneTree,71.2132,2048
66.6979,12582912,3,17970918682022726495,arx_block,14.6108,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,29.4587,cellular_automata,candidates,feistel_index,135.839,3,candidates__gradient_2048x2048__rep3,CA-Feistel-ARX,179.916,2048
27.9345,12582912,3,1476863585197703979,stencil,53.9013,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,186.64,cml,candidates,feistel_index,189.029,3,candidates__gradient_2048x2048__rep3,CML-Feistel-Stencil,429.576,2048
9.77503,12582912,3,16529427070144471624,stencil,48.656,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,1049.49,hamiltonian,candidates,block_feistel,129.462,3,candidates__gradient_2048x2048__rep3,Hamiltonian-Block-Stencil,1227.62,2048
28.311,12582912,3,18286951560419403537,bitplane,27.1349,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,186.57,cml,candidates,affine_bitplane,210.153,3,candidates__gradient_2048x2048__rep3,Affine-CML-Bitplane,423.863,2048
205.181,12582912,3,15296360051045944194,arx_block,15.0624,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,29.0828,cellular_automata,candidates,checkerboard_swaps,14.333,3,candidates__gradient_2048x2048__rep3,Checkerboard-CA-ARX,58.4851,2048
